Long,Lat,#,Time
-39:40:35.5,36:39:58.9,337,1587485171.484242
-39:26:39.5,36:30:08.0,338,1587485175.05839
-39:16:14.9,36:22:43.7,339,1587485178.6324394
-39:02:25.5,36:12:49.6,340,1587485182.2068343
-38:52:05.9,36:05:22.8,341,1587485185.7811167
-38:38:23.1,35:55:25.5,342,1587485189.3562396
-38:28:08.4,35:47:56.4,343,1587485192.9285798
-38:14:32.0,35:37:56.0,344,1587485196.5378296
-38:00:59.3,35:27:53.9,345,1587485200.1523426
-37:50:52.2,35:20:21.1,346,1587485203.7509453
-37:37:25.8,35:10:15.9,347,1587485207.3254614
-37:27:23.4,35:02:40.9,348,1587485210.8996677
-37:14:03.3,34:52:32.8,349,1587485214.4738958
-37:00:46.7,34:42:22.9,350,1587485218.049476
-36:50:51.6,34:34:44.5,351,1587485221.62938
-36:37:41.2,34:24:31.7,352,1587485225.1980703
-36:27:50.6,34:16:51.1,353,1587485228.7712514
-36:14:46.2,34:06:35.5,354,1587485232.4239566
-36:01:45.2,33:56:18.4,355,1587485236.0215917
-35:52:01.7,33:48:34.5,356,1587485239.5965018
-35:39:06.7,33:38:14.5,357,1587485243.170721
-35:29:27.6,33:30:28.5,358,1587485246.7446623
-35:16:38.3,33:20:05.9,359,1587485250.3182333
-35:07:03.6,33:12:17.9,360,1587485253.925889
-34:54:20.1,33:01:52.6,361,1587485257.4997253
-34:41:39.9,32:51:25.8,362,1587485261.0736136
-34:32:11.8,32:43:34.7,363,1587485264.6480718
-34:19:37.3,32:33:05.4,364,1587485268.221768
-34:10:13.4,32:25:12.4,365,1587485271.79854
-33:57:44.3,32:14:40.4,366,1587485275.4045086
-33:48:24.6,32:06:45.6,367,1587485278.977968
-33:36:01.0,31:56:11.1,368,1587485282.5523822
-33:23:40.5,31:45:35.3,369,1587485286.1254563
-33:14:27.1,31:37:37.6,370,1587485289.9660285
-33:02:11.9,31:26:59.3,371,1587485293.5401897
-32:49:59.8,31:16:19.7,372,1587485297.1150277
-32:40:52.6,31:08:19.2,373,1587485300.688276
-32:28:45.7,30:57:37.2,374,1587485304.2631972
-32:19:42.4,30:49:34.9,375,1587485307.8366253
-32:07:40.6,30:38:50.7,376,1587485311.4107206
-31:58:41.1,30:30:46.6,377,1587485314.9858768
-31:46:44.3,30:20:00.2,378,1587485318.558801
-31:34:50.4,30:09:12.4,379,1587485322.132756
-31:25:56.9,30:01:05.7,380,1587485325.7074432
-31:14:07.9,29:50:15.8,381,1587485329.2810545
-31:05:18.0,29:42:07.5,382,1587485332.8559904
-30:53:33.9,29:31:15.4,383,1587485336.4299748
-30:41:52.5,29:20:22.1,384,1587485340.0364406
-30:33:08.2,29:12:11.3,385,1587485343.6146495
-30:21:31.6,29:01:15.9,386,1587485347.1847358
-30:12:50.8,28:53:03.6,387,1587485350.758479
-30:01:18.9,28:42:06.1,388,1587485354.3325381
-29:52:41.6,28:33:52.3,389,1587485357.9067202
-29:41:14.2,28:22:52.8,390,1587485361.4808686
-29:29:49.4,28:11:52.2,391,1587485365.0548778
-29:21:17.4,28:03:36.1,392,1587485368.6352198
-29:09:57.1,27:52:33.5,393,1587485372.2363214
-29:01:28.5,27:44:15.9,394,1587485375.8098028
-28:50:12.5,27:33:11.5,395,1587485379.38466
-28:41:47.2,27:24:52.4,396,1587485382.9585452
-28:30:35.6,27:13:46.1,397,1587485386.5324173
-28:19:26.4,27:02:38.8,398,1587485390.1391652
-28:11:06.0,26:54:17.6,399,1587485393.7138052
-28:00:01.0,26:43:08.4,400,1587485397.2874954
-27:51:43.9,26:34:45.8,401,1587485400.8609316
-27:40:43.0,26:23:34.9,402,1587485404.4372778
-27:29:44.5,26:12:22.9,403,1587485408.0448246
-27:21:32.1,26:03:58.3,404,1587485411.6182199
-27:10:37.6,25:52:44.6,405,1587485415.19294
-27:02:28.2,25:44:18.8,406,1587485418.7665772
-26:51:37.7,25:33:03.4,407,1587485422.3413494
-26:43:31.2,25:24:36.2,408,1587485425.9153605
-26:32:44.6,25:13:19.2,409,1587485429.5218022
-26:22:00.1,25:02:01.3,410,1587485433.1041481
-26:13:58.2,24:53:32.2,411,1587485436.704771
-26:03:17.5,24:42:12.7,412,1587485440.2779224
-25:55:18.4,24:33:42.4,413,1587485443.8529127
-25:44:41.4,24:22:21.3,414,1587485447.426638
-25:36:45.0,24:13:49.9,415,1587485451.0013769
-25:26:11.7,24:02:27.2,416,1587485454.582758
-25:15:40.4,23:51:03.7,417,1587485458.1827927
-25:07:48.3,23:42:30.5,418,1587485461.7904105
-24:57:20.5,23:31:05.5,419,1587485465.3977904
-24:49:31.0,23:22:31.2,420,1587485468.9717226
